              Lexeme	               LineNo	            TokenName	        ValuelfNumber	          parentNodeSymbol	           IsLeafNode	                NodeSymbol
                ----	                -----	                -----	                -----	                   anyTerm	             Not Leaf	       arithmeticExpr_dash
                    	                    0	                    e	                -----	                      bool	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	                      term
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	      arithmeticExpr_recur
                    	                    0	                    e	                -----	       arithmeticExpr_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                    factor
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                 term_dash
                    	                    0	                    e	                -----	      arithmeticExpr_recur	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                    factor	             Not Leaf	                var_id_num
                ----	                -----	                -----	                -----	                 term_dash	             Not Leaf	                op_mul_div
                ----	                -----	                -----	                -----	                 term_dash	             Not Leaf	                    factor
                ----	                -----	                -----	                -----	                 term_dash	             Not Leaf	                 term_dash
                   x	                   15	                   ID	                -----	                var_id_num	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                var_id_num	             Not Leaf	                   whichId
                   *	                   15	                  MUL	                -----	                op_mul_div	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                    factor	             Not Leaf	                var_id_num
                    	                    0	                    e	                -----	                 term_dash	              Is Leaf	                     -----
                    	                    0	                    e	                -----	                   whichId	              Is Leaf	                     -----
                   x	                   15	                   ID	                -----	                var_id_num	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                var_id_num	             Not Leaf	                   whichId
                    	                    0	                    e	                -----	                   whichId	              Is Leaf	                     -----
